1;New York; New York;8 336 817;780,9
2;Los Angeles; California;3 979 576;1 213,90
3;Chicago; Illinois;2 693 976;588,7
4;Houston; Texas;2 320 268;1 651,10
5;Phoenix; Arizona;1 680 992;1 340,60
6;San Diego; California;1 423 851;842,3
7;San Antonio; Texas;1 547 253;1 194,00
